path,name,code,sub-code,original-price,price,sale-price,options,headline,caption,abstract,explanation,additional1,additional2,additional3,relevant-links,ship-weight,taxable,release-date,temporary-point-term,point-code,meta-desc,template,sale-period-start,sale-period-end,sale-limit,sp-code,brand-code,yahoo-product-code,product-code,jan,isbn,delivery,astk-code,condition,product-category,spec1,spec2,spec3,spec4,spec5,spec6,spec7,spec8,spec9,spec10,display,sort,sp-additional
"赤ワイン
フランス
フランス:ボルドー地方","2007 シャトー・コス・デストゥルネル / シャトー・コス・デストゥルネル",1832,,20000,20000,,,,,,"国: France
地方: Bordeaux
ブドウ品種: カベルネ・ソーヴィニヨン85%+メルロー13%+カベルネ・フラン2%
インポーター: RAFFINE
",,,,,,1,,,,,IT03,,,,,,,,,,0,0,0,1371,,,,,,,,,,,1,99,
"赤ワイン
フランス
フランス:ローヌ河流域","2011 エルミタージュ / ドメーヌ・ベルナール・フォーリー",1784,,10800,10800,,,評論家絶賛、偉大なエルミタージュ,,,"国: France
地方: Vall?e du Rh?ne
ブドウ品種: シラー100%
インポーター: BERRY BROS & RUDD
",,,,,,1,,,,,IT03,,,,,,,,,,0,0,0,1371,,,,,,,,,,,1,99,
"赤ワイン
フランス
フランス:ボルドー地方","2008 カリュアド・ド・ラフィット / シャトー・ラフィット・ロートシルト",1841,,24000,24000,,,,,,"国: France
地方: Bordeaux
ブドウ品種: カベルネ・ソーヴィニヨン51%+メルロー35%+プティ・ヴェルド+カベルネ・フラン14%
インポーター: RAFFINE
",,,,,,1,,,,,IT03,,,,,,,,,,0,0,0,1371,,,,,,,,,,,1,99,
"赤ワイン
フランス
フランス:ブルゴーニュ地方","2012 ニュイ・サン・ジョルジュ・プルミエ・クリュ・クロ・デ・ポレ・サン・ジョルジュ / ドメーヌ・アンリ・グージュ",1797,,11500,11500,,,,,,"国: France
地方: Bourgogne
ブドウ品種: ピノ・ノワール100%
インポーター: FINESSE
",,,,,,1,,,,,IT03,,,,,,,,,,0,0,0,1371,,,,,,,,,,,1,99,
白ワイン,"2010 グリューナー・フェルトリーナー・ミニマル / ヴァイングート・セップ・モーザー",1880,,6020,6020,,,オーストリア次世代自然派のリーダー,,,"国: Austria
地方: Burgenland
ブドウ品種: グリューナー・ヴェルトリーナー100%
インポーター: ESTATE WINES
",,,,,,1,,,,,IT03,,,,,,,,,,0,0,0,1372,,,,,,,,,,,1,99,
その他のワイン,"商品表記 -----------------------・クラフトビアグラス（重厚） / アデリア",2204,,700,700,,,-----------------------------,,,"国: Japan
地方: 
ブドウ品種: --------
インポーター: ADERIA
",,,,,,1,,,,,IT03,,,,,,,,,,0,0,0,,,,,,,,,,,,1,99,
"赤ワイン
フランス
フランス:ブルゴーニュ地方","2008 シャルム・シャンベルタン・グラン・クリュ / ドメーヌ・クロード・デュガ",2323,,40000,40000,,,,,,"国: France
地方: Bourgogne
ブドウ品種: ピノ・ノワール100%
インポーター: VINORUM
",,,,,,1,,,,,IT03,,,,,,,,,,0,0,0,1371,,,,,,,,,,,1,99,
"赤ワイン
フランス
フランス:ローヌ河流域","1990 コート・デュ・ローヌ・ヴィラージュ・ラストー・トラディション / ラ・カーヴ・デ・ヴィニュロン・ド・ラストー",1995,,7000,7000,,,ラストーの協同組合,,,"国: France
地方: Vall?e du Rh?ne
ブドウ品種: グルナッシュ70%+シラー20%+ムールヴェードル10%
インポーター: KAIGAI FINE WINES LTD.
",,,,,,1,,,,,IT03,,,,,,,,,,0,0,0,1371,,,,,,,,,,,1,99,
"赤ワイン
フランス
フランス:ローヌ河流域","2002 シャトーヌフ・デュ・パプ / ドメーヌ・クロ・デュ・モン・オリヴェ",1960,,8400,8400,,,,,,"国: France
地方: Vall?e du Rh?ne
ブドウ品種: グルナッシュ80%+シラー10%+サンソー+ムールヴェードル+その他品種10%
インポーター: KAIGAI FINE WINES LTD.
",,,,,,1,,,,,IT03,,,,,,,,,,0,0,0,1371,,,,,,,,,,,1,99,
"赤ワイン
フランス
フランス:ブルゴーニュ地方","2007 モルゴン・キュヴェ・マルセル・ラピエール / ドメーヌ・マルセル・ラピエール",1948,,15000,15000,,,"フランス自然派ワインの父 ☆☆(B&D)",,,"国: France
地方: Bourgogne
ブドウ品種: ガメイ100%
インポーター: TIRE-BOUCHON
",,,,,,1,,,,,IT03,,,,,,,,,,0,0,0,1371,,,,,,,,,,,1,99,
"赤ワイン
フランス
フランス:ブルゴーニュ地方","2011 メルキュレ / シャトー・ド・シャミレイ",2592,,5000,5000,,,,,,"国: France
地方: Bourgogne
ブドウ品種: ピノ・ノワール100%
インポーター: FUJI INDUSTRIES CO.,LTD.
",,,,,,1,,,,,IT03,,,,,,,,,,0,0,0,1371,,,,,,,,,,,1,99,
"赤ワイン
フランス
フランス:ローヌ河流域","2005 サン・ジョセフ / ドメーヌ・ティエリー・アルマン",2634,,25000,25000,,,コルナス自然派の重鎮,,,"国: France
地方: Vall?e du Rh?ne
ブドウ品種: シラー100%
インポーター: TIRE-BOUCHON
",,,,,,1,,,,,IT03,,,,,,,,,,0,0,0,1371,,,,,,,,,,,1,99,
"赤ワイン
フランス
フランス:ローヌ河流域","1995 コルナス・ヴィエイユ・ヴィーニュ / ドメーヌ・アラン・ヴォージュ",2593,,15000,15000,,,,,,"国: France
地方: Vall?e du Rh?ne
ブドウ品種: シラー100%
インポーター: TIRE-BOUCHON
",,,,,,1,,,,,IT03,,,,,,,,,,0,0,0,1371,,,,,,,,,,,1,99,
"赤ワイン
フランス
フランス:ローヌ河流域","2001 エルミタージュ / ドメーヌ・マルク・ソレル",2612,,15000,15000,,,,,,"国: France
地方: Vall?e du Rh?ne
ブドウ品種: シラー100%
インポーター: FWINES
",,,,,,1,,,,,IT03,,,,,,,,,,0,0,0,1371,,,,,,,,,,,1,99,
"赤ワイン
フランス
フランス:ローヌ河流域","2000 シャトーヌフ・デュ・パプ・キュヴェ・サントネール / ドメーヌ・レ・カイユ (アンドレ・ブルネル)",2536,,25000,25000,,,,,,"国: France
地方: Vall?e du Rh?ne
ブドウ品種: グルナッシュ85%+ムールヴェードル15%
インポーター: INABA
",,,,,,1,,,,,IT03,,,,,,,,,,0,0,0,1371,,,,,,,,,,,1,99,
"赤ワイン
フランス
フランス:ローヌ河流域","1996 シャトーヌフ・デュ・パプ・キュヴェ・ド・ラ・レーヌ・デ・ボワ / ドメーヌ・ド・ラ・モルドレ",2525,,22000,22000,,,"コート・デュ・ローヌ南部のスーパースター ☆☆☆(B&D)",,,"国: France
地方: Vall?e du Rh?ne
ブドウ品種: グルナッシュ85%+ムールヴェードル10%シラー5%+クノワーズ2,5%+ヴァカレーズ2,5%
インポーター: TIRE-BOUCHON
",,,,,,1,,,,,IT03,,,,,,,,,,0,0,0,1371,,,,,,,,,,,1,99,
"赤ワイン
フランス
フランス:ローヌ河流域","1998 ジゴンダス・キュヴェ・フローレンス / ドメーヌ・レ・グーベール",2529,,10000,10000,,,"ジゴンダスの名手 ☆☆☆(B&D)",,,"国: France
地方: Vall?e du Rh?ne
ブドウ品種: グルナッシュ+シラー+ムールヴェードル+サンソー+クレレット
インポーター: Firadis
",,,,,,1,,,,,IT03,,,,,,,,,,0,0,0,1371,,,,,,,,,,,1,99,
"赤ワイン
フランス
フランス:ローヌ河流域","2000 ジゴンダス・キュヴェ・フローレンス / ドメーヌ・レ・グーベール",2541,,13000,13000,,,"ジゴンダスの名手 ☆☆☆(B&D)",,,"国: France
地方: Vall?e du Rh?ne
ブドウ品種: グルナッシュ+シラー+ムールヴェードル+サンソー+クレレット
インポーター: Yokohama KIMIJIMAYA
",,,,,,1,,,,,IT03,,,,,,,,,,0,0,0,1371,,,,,,,,,,,1,99,
"赤ワイン
フランス
フランス:ローヌ河流域","1990 ジゴンダス / ドメーヌ・ラスパイユ・アイ",2518,,9000,9000,,,,,,"国: France
地方: Vall?e du Rh?ne
ブドウ品種: グルナッシュ80%+シラー15%+ムールヴェードル5%
インポーター: RAFFINE
",,,,,,1,,,,,IT03,,,,,,,,,,0,0,0,1371,,,,,,,,,,,1,99,
"甘口ワイン
フランス
フランス:アルザス地方","2005 ゲヴェルツトラミネール・フロンフォルツ・ヴァンダンジュ・タルディヴ / ドメーヌ・オステルタグ",2547,,9000,9000,,,,,,"国: France
地方: Alsace
ブドウ品種: ゲヴェルツトラミネール100%
インポーター: JALUX
",,,,,,1,,,,,IT03,,,,,,,,,,0,0,0,1376,,,,,,,,,,,1,99,
"赤ワイン
フランス
フランス:ローヌ河流域","2000 コート・デュ・ローヌ・ヴィラージュ・トレ・ヴィエイユ・ヴィーニュ / ドメーヌ・ル・クロ・デュ・カイユ",2371,,20000,20000,,,"見逃してはならないヌフ生産者 ☆☆☆(B&D)",,,"国: France
地方: Vall?e du Rh?ne
ブドウ品種: グルナッシュ90%+シラー5%+ムールヴェードル3%+クノワーズ2%
インポーター: TERROIR
",,,,,,1,,,,,IT03,,,,,,,,,,0,0,0,1371,,,,,,,,,,,1,99,
"白ワイン
フランス
フランス:南西地方","2011 ジュランソン・セック・キュヴェ・レ・ジャルダン・ド・バビロン / ドメーヌ・ディディエ・ダグノー",2367,,12000,12000,,,,,,"国: France
地方: Sud-Ouest
ブドウ品種: プティ・クルビュ+グロ・クルビュ+グロ・マンサン+ローゼ+カマラレ
インポーター: NOMURA UNISON
",,,,,,1,,,,,IT03,,,,,,,,,,0,0,0,1372,,,,,,,,,,,1,99,
"白ワイン
フランス
フランス:アルザス地方","2011 ピノ・グリ・グラン・クリュ・ゾーネングランツ / ドメーヌ・トラペ・ペール・エ・フィス",2413,,6500,6500,,,,,,"国: France
地方: Alsace
ブドウ品種: ピノ・グリ100%
インポーター: FINESSE
",,,,,,1,,,,,IT03,,,,,,,,,,0,0,0,1372,,,,,,,,,,,1,99,
"赤ワイン
フランス
フランス:ルーション地方","1999 コート・デュ・ルーシヨン・ヴィラージュ・キュヴェ・ムンタダ / ドメーヌ・ゴービー",2441,,20000,20000,,,,,,"国: France
地方: Roussillon
ブドウ品種: グルナッシュ45%+カリニャン45%+ムールヴェドル5%+シラー5%
インポーター: Yokohama KIMIJIMAYA
",,,,,,1,,,,,IT03,,,,,,,,,,0,0,0,1371,,,,,,,,,,,1,99,
"赤ワイン
フランス
フランス:ブルゴーニュ地方","2004 クロ・サン・ドニ・グラン・クリュ / ドメーヌ・アルロー・ペール・エ・フィス",1766,,30000,30000,,,"若手生産者期待の星 ☆(RVF)",,,"国: France
地方: Bourgogne
ブドウ品種: ピノ・ノワール100%
インポーター: Firadis
",,,,,,1,,,,,IT03,,,,,,,,,,0,0,0,1371,,,,,,,,,,,1,99,
白ワイン,"2013 ヴィーナー・ゲミシュター・サッツ・ニュスベルク・アルテレーベン 1500ml / ヴァイングート・ヴィーニンガー",2422,,11000,11000,,,ゲミシュターサッツ復権の立役者,,,"国: Austria
地方: Wien
ブドウ品種: ヴァイサーブルグンダー（ピノ・ブラン）+ノイブルガー+ヴェルシュリースリング+その他
インポーター: Herrenberger Hof
",,,,,,1,,,,,IT03,,,,,,,,,,0,0,0,1372,,,,,,,,,,,1,99,
"白ワイン
フランス
フランス:南西地方","2012 イルレギー・キュヴェ・テロワール・ヘゴクスリ・シスト / ドメーヌ・アレチェア",1727,,7700,7700,,,"バスクを代表する生産者 ☆☆(B&D) ☆(MVF2017)",,,"国: France
地方: Sud-Ouest
ブドウ品種: グロ・マンサン+プティ・マンサン+プティ・クルビュ
インポーター: LE VIN NATURE
",,,,,,1,,,,,IT03,,,,,,,,,,0,0,0,1372,,,,,,,,,,,1,99,
"白ワイン
フランス
フランス:南西地方","2012 イルレギー・キュヴェ・テロワール・パンクスリ・オフィート / ドメーヌ・アレチェア",1732,,7700,7700,,,"バスクを代表する生産者 ☆☆(B&D) ☆(MVF2017)",,,"国: France
地方: Sud-Ouest
ブドウ品種: グロ・マンサン+プティ・マンサン+プティ・クルビュ
インポーター: LE VIN NATURE
",,,,,,1,,,,,IT03,,,,,,,,,,0,0,0,1372,,,,,,,,,,,1,99,
"白ワイン
フランス
フランス:南西地方","2012 イルレギー・キュヴェ・テロワール・ヘゴクスリ・グレ / ドメーヌ・アレチェア",1722,,7700,7700,,,"バスクを代表する生産者 ☆☆(B&D) ☆(MVF2017)",,,"国: France
地方: Sud-Ouest
ブドウ品種: グロ・マンサン+プティ・マンサン+プティ・クルビュ
インポーター: LE VIN NATURE
",,,,,,1,,,,,IT03,,,,,,,,,,0,0,0,1372,,,,,,,,,,,1,99,
"ロゼワイン
フランス
フランス:コルシカ島","2013 コルス・フィガリ / ドメーヌ・クロ・カナレリ",2678,,4800,4800,,,,,,"国: France
地方: Corse
ブドウ品種: シャッカレロ+ニエルッキオ（サンジョヴェーゼ）+グルナッシュ
インポーター: Yokohama KIMIJIMAYA
",,,,,,1,,,,,IT03,,,,,,,,,,0,0,0,1374,,,,,,,,,,,1,99,
赤ワイン,"2013 メンドシーノ・カリニャン / ドンキー・アンド・ゴート・ワイナリー",2729,,5000,5000,,,アメリカを代表するナチュラル・ワイン,,,"国: United States
地方: California
ブドウ品種: カリニャン100%
インポーター: FUJI INDUSTRIES CO.,LTD.
",,,,,,1,,,,,IT03,,,,,,,,,,0,0,0,1371,,,,,,,,,,,1,99,
白ワイン,"2013 ヴィーナー・ゲミシュター・サッツ・ビザムベルク・アルテレーベン / ヴァイングート・ヴィーニンガー",2755,,4500,4500,,,ゲミシュターサッツ復権の立役者,,,"国: Austria
地方: Wien
ブドウ品種: ヴァイサーブルグンダー（ピノ・ブラン）+グラウブルグンダー（ピノ・グリ）+シャルドネ
インポーター: Herrenberger Hof
",,,,,,1,,,,,IT03,,,,,,,,,,0,0,0,1372,,,,,,,,,,,1,99,
白ワイン,"2013 リースリング・フェーダーシュピール・ブリック / ヴァイングート・ヘーグル",2699,,4500,4500,,,オーストリア本国で人気の生産者,,,"国: Austria
地方: Nieder?sterreich
ブドウ品種: リースリング100%
インポーター: Herrenberger Hof
",,,,,,1,,,,,IT03,,,,,,,,,,0,0,0,1372,,,,,,,,,,,1,99,
"シャンパーニュ
フランス","N.V. ナタリー・ファルメ・ブリュット / ナタリー・ファルメ",1698,,7800,7800,,,シャンパーニュ新星女性醸造家,,,"国: France
地方: Champagne
ブドウ品種: ピノ・ノワール80%+シャルドネ20% [2011年の70%（シャルドネ25%+45%）残り30%はソレラ方式]
インポーター: IZUMI TRADING
",,,,,,1,,,,,IT03,,,,,,,,,,0,0,0,1373,,,,,,,,,,,1,99,
"シャンパーニュ
フランス","(2010) ナタリー・ファルメ・ブリュット・ナチュール / ナタリー・ファルメ",2769,,9100,9100,,,シャンパーニュ新星女性醸造家,,,"国: France
地方: Champagne
ブドウ品種: ピノ・ノワール100%
インポーター: IZUMI TRADING
",,,,,,1,,,,,IT03,,,,,,,,,,0,0,0,1373,,,,,,,,,,,1,99,
"シャンパーニュ・ロゼ
フランス","(2010) ナタリー・ファルメ・キュヴェ・トンタション・ロゼ・ブリュット / ナタリー・ファルメ",1612,,10300,10300,,,シャンパーニュ新星女性醸造家,,,"国: France
地方: Champagne
ブドウ品種: ピノ・ノワール50%+ピノ・ムニエ50%
インポーター: IZUMI TRADING
",,,,,,1,,,,,IT03,,,,,,,,,,0,0,0,1373,,,,,,,,,,,1,99,
"甘口ワイン
フランス
フランス:南西地方","1990 ガイヤック・プルミエール・コート・ヴァン・ドタン / ドメーヌ・プラジョル",1607,,6000,6000,,,,,,"国: France
地方: Sud-Ouest
ブドウ品種: オンドン100%
インポーター: MATSUNAKAYA
",,,,,,1,,,,,IT03,,,,,,,,,,0,0,0,1376,,,,,,,,,,,1,99,
"甘口ワイン
フランス
フランス:ルーション地方","1985 バニュルス・ランシオ・アル・トラゴ / ドメーヌ・ヴィアル・マニェール",1603,,4800,4800,,,"バニュリュスの名手 ☆☆(B&D) ☆(MVF2017)",,,"国: France
地方: Roussillon
ブドウ品種: グルナッシュ・ノワール+グルナッシュ・ブラン+グルナッシュ・グリ+カリニャン
インポーター: MATSUNAKAYA
",,,,,,1,,,,,IT03,,,,,,,,,,0,0,0,1376,,,,,,,,,,,1,99,
"白ワイン
フランス
フランス:ラングドック地方","2012 ヴァン・ド・ペイ・ド・レロー / マス・ジュリアン",1077,,6000,6000,,,,,,"国: France
地方: Languedoc
ブドウ品種: カリニャン・ブラン+グルナッシュ・ブラン+クレレット+ルーサンヌ+ヴィオニエ+シュナン・ブラン
インポーター: MATSUNAKAYA
",,,,,,1,,,,,IT03,,,,,,,,,,0,0,0,1372,,,,,,,,,,,1,99,
白ワイン,"2010 リースリング / ホッフキルシュ・ワインズ",1091,,4000,4000,,,オーストラリア冷涼地域の自然派生産者,,,"国: Australia
地方: Victoria
ブドウ品種: リースリング100%
インポーター: kp Orchard
",,,,,,1,,,,,IT03,,,,,,,,,,0,0,0,1372,,,,,,,,,,,1,99,
赤ワイン,"2010 ムーナンベル・カベルネ / ダルウィニー・ワインズ",1069,,7800,7800,,,ヴィクトリア州で最も偉大なワイナリーの一つ,,,"国: Australia
地方: Victoria
ブドウ品種: カベルネ・ソーヴィニヨン100%
インポーター: kp Orchard
",,,,,,1,,,,,IT03,,,,,,,,,,0,0,0,1371,,,,,,,,,,,1,99,
"白ワイン
フランス
フランス:アルザス地方","2000 ゲヴェルツトラミネール・グラン・クリュ・マンブール / ドメーヌ・マルク・テンペ",1049,,12000,12000,,,,,,"国: France
地方: Alsace
ブドウ品種: ゲヴェルツトラミネール100%
インポーター: DIONY
",,,,,,1,,,,,IT03,,,,,,,,,,0,0,0,1372,,,,,,,,,,,1,99,
"白ワイン
フランス
フランス:ロワール河流域","1934 ヴーヴレイ・セック・ペルラン / ドメーヌ・ユエ",1268,,50000,50000,,,,,,"国: France
地方: Vall?e de la Loire
ブドウ品種: シュナン・ブラン100%
インポーター: BERRY BROS & RUDD
",,,,,,1,,,,,IT03,,,,,,,,,,0,0,0,1372,,,,,,,,,,,1,99,
"白ワイン
フランス
フランス:ロワール河流域","2000 ソミュール・セック・ブレゼ / クロ・ルジャール",1264,,60000,60000,,,,,,"国: France
地方: Vall?e de la Loire
ブドウ品種: シュナン・ブラン100%
インポーター: TIRE-BOUCHON
",,,,,,1,,,,,IT03,,,,,,,,,,0,0,0,1372,,,,,,,,,,,1,99,
"白ワイン
フランス
フランス:ロワール河流域","2010 ヴァン・ド・ペイ・デュ・ジャルダン・ド・ラ・フランス・プロヴィニャージュ / ドメーヌ・ド・ラ・シャルモワ(アンリ・マリオネ)",1277,,11000,11000,,,"フランス自然派ワインの先駆者 ☆☆☆(B&D)",,,"国: France
地方: Vall?e de la Loire
ブドウ品種: ロモランタン100%
インポーター: IZUMI TRADING
",,,,,,1,,,,,IT03,,,,,,,,,,0,0,0,1372,,,,,,,,,,,1,99,
その他のワイン," ステインローラー / ドクター・ベックマン",1385,,750,750,,,-----------------------------,,,"国: Germany
地方: -----------------------
ブドウ品種: --------
インポーター: NIHON CREATIVE CO.,LTD.
",,,,,,1,,,,,IT03,,,,,,,,,,0,0,0,,,,,,,,,,,,1,99,
"赤ワイン
フランス
フランス:ブルゴーニュ地方","2012 ジュヴレ・シャンベルタン・プルミエ・クリュ・レ・コルボー / ドメーヌ・セラファン・ペール・エ・フィス",1045,,17500,17500,,,"新樽の魔術師の造る長期熟成タイプのジュヴレ ☆☆☆(B&D)",,,"国: France
地方: Bourgogne
ブドウ品種: ピノ・ノワール100%
インポーター: FINESSE
",,,,,,1,,,,,IT03,,,,,,,,,,0,0,0,1371,,,,,,,,,,,1,99,
"赤ワイン
フランス
フランス:ブルゴーニュ地方","2012 ジュヴレ・シャンベルタン・ヴィエイユ・ヴィーニュ / ドメーヌ・セラファン・ペール・エ・フィス",1040,,16000,16000,,,"新樽の魔術師の造る長期熟成タイプのジュヴレ ☆☆☆(B&D)",,,"国: France
地方: Bourgogne
ブドウ品種: ピノ・ノワール100%
インポーター: FINESSE
",,,,,,1,,,,,IT03,,,,,,,,,,0,0,0,1371,,,,,,,,,,,1,99,
赤ワイン,"2012 シュペートブルグンダー・トロッケン・H 1500ml / ヴァイングート・ベルンハルト・フーバー",1672,,10000,10000,,,ドイツ赤ワインの規範,,,"国: Germany
地方: Baden
ブドウ品種: シュペートブルグンダー（ピノ・ノワール）100%
インポーター: Herrenberger Hof
",,,,,,1,,,,,IT03,,,,,,,,,,0,0,0,1371,,,,,,,,,,,1,99,
赤ワイン,"2014 スキン・アンド・ボーンズ・ピノ・ノワール / BKワインズ",1517,,4500,4500,,,天才醸造家”ポール・ホブス”の愛弟子,,,"国: Australia
地方: South Australia
ブドウ品種: ピノ・ノワール100%
インポーター: kp Orchard
",,,,,,1,,,,,IT03,,,,,,,,,,0,0,0,1371,,,,,,,,,,,1,99,
"白ワイン
南アフリカ","2015 W.O. ・ステレンボッシュ・セラー・セレクション・シャルドネ / クライン・ザルゼ・ワインズ",1570,,1800,1800,,,南アフリカの老舗ワイナリー,,,"国: South Africa
地方: Western Cape
ブドウ品種: シャルドネ100%
インポーター: RAFFINE
",,,,,,1,,,,,IT03,,,,,,,,,,0,0,0,1372,,,,,,,,,,,1,99,
赤ワイン,"2013 ワラ・ワラ・ヴァレー・サンジョヴェーゼ / レオネッティ・セラー",1580,,14000,14000,,,ワシントン州No.1カルトワイン,,,"国: United States
地方: Washington
ブドウ品種: サンジョヴェーゼ100％
インポーター: ORCA INTERNATIONAL
",,,,,,1,,,,,IT03,,,,,,,,,,0,0,0,1371,,,,,,,,,,,1,99,
"赤ワイン
フランス
フランス:ロワール河流域","1996 ブルグイユ・キュヴェ・グラン・モン / ドメーヌ・ピエール・ジャック・ドゥルエ",2969,,5200,5200,,,"上質なカベルネ・フランを造り出す生産者 ☆☆(B&D)",,,"国: France
地方: Vall?e de la Loire
ブドウ品種: カベルネ・フラン100%
インポーター: RAFFINE
",,,,,,1,,,,,IT03,,,,,,,,,,0,0,0,1371,,,,,,,,,,,1,99,
"赤ワイン
フランス
フランス:ローヌ河流域","1991 コルナス / ドメーヌ・ルネ・バルタザール",3106,,30000,30000,,,伝統的コルナスの生産者,,,"国: France
地方: Vall?e du Rh?ne
ブドウ品種: シラー100%
インポーター: Firadis
",,,,,,1,,,,,IT03,,,,,,,,,,0,0,0,1371,,,,,,,,,,,1,99,
赤ワイン,"2010 D.O.C.G.バルバレスコ / マヌエル・マリナッチ",3401,,5200,5200,,,バルバレスコ注目の若手生産者,,,"国: Italy
地方: Piemonte
ブドウ品種: ネッビオーロ100%
インポーター: BERRY BROS & RUDD
",,,,,,1,,,,,IT03,,,,,,,,,,0,0,0,1371,,,,,,,,,,,1,99,
その他のワイン," シュピゲラウ・アディナ・プレスティジュ・ブルゴーニュ・ワイン・グラス（2客セット） / シュピゲラウ",3478,,7000,7000,,,-----------------------------,,,"国: Germany
地方: -----------------------
ブドウ品種: --------
インポーター: ADERIA
",,,,,,1,,,,,IT03,,,,,,,,,,0,0,0,,,,,,,,,,,,1,99,
